Species	Lineage	Substance	Concentration	Alive	Dead	Total
Aaegypti	Rockefeller	S2	5	100	0	100
Aaegypti	Rockefeller	S2	10	67	27	94
Aaegypti	Rockefeller	S2	20	21	78	99
Aaegypti	Rockefeller	S2	30	4	96	100
Aaegypti	Rockefeller	S2	40	0	100	100
Aaegypti	Rockefeller	S2	50	5	97	102
Aaegypti	Rockefeller	S2	100	1	99	100
Aaegypti	Rockefeller	S2	200	0	100	100
Aaegypti	Rockefeller	S2	5	79	0	79
Aaegypti	Rockefeller	S2	10	76	0	76
Aaegypti	Rockefeller	S2	20	66	9	75
Aaegypti	Rockefeller	S2	30	40	40	80
Aaegypti	Rockefeller	S2	40	39	42	81
Aaegypti	Rockefeller	S2	50	29	52	81
Aaegypti	Rockefeller	S2	100	10	71	81
Aaegypti	Rockefeller	S2	200	0	79	79
Aaegypti	Rockefeller	S2	5	100	0	100
Aaegypti	Rockefeller	S2	10	95	6	101
Aaegypti	Rockefeller	S2	20	80	19	99
Aaegypti	Rockefeller	S2	30	40	62	102
Aaegypti	Rockefeller	S2	40	35	63	98
Aaegypti	Rockefeller	S2	50	25	75	100
Aaegypti	Rockefeller	S2	100	15	84	99
Aaegypti	Rockefeller	S2	200	1	99	100
Aaegypti	Rockefeller	S1	1	60	1	61
Aaegypti	Rockefeller	S1	2.5	58	0	58
Aaegypti	Rockefeller	S1	5	58	2	60
Aaegypti	Rockefeller	S1	7.5	53	7	60
Aaegypti	Rockefeller	S1	10	24	35	59
Aaegypti	Rockefeller	S1	15	16	44	60
Aaegypti	Rockefeller	S1	20	0	58	58
Aaegypti	Rockefeller	S1	50	0	60	60
Aaegypti	Rockefeller	S1	1	77	0	77
Aaegypti	Rockefeller	S1	2.5	73	0	73
Aaegypti	Rockefeller	S1	5	11	63	74
Aaegypti	Rockefeller	S1	7.5	7	73	80
Aaegypti	Rockefeller	S1	10	55	16	71
Aaegypti	Rockefeller	S1	15	1	73	74
Aaegypti	Rockefeller	S1	20	0	76	76
Aaegypti	Rockefeller	S1	50	0	76	76
Aaegypti	Rockefeller	S1	1	100	0	100
Aaegypti	Rockefeller	S1	2.5	100	0	100
Aaegypti	Rockefeller	S1	5	15	85	100
Aaegypti	Rockefeller	S1	7.5	20	79	99
Aaegypti	Rockefeller	S1	10	18	88	100
Aaegypti	Rockefeller	S1	15	10	90	100
Aaegypti	Rockefeller	S1	20	0	99	99
Aaegypti	Rockefeller	S1	50	0	101	101
Aaegypti	Pop01	S1	1	74	0	74
Aaegypti	Pop01	S1	2.5	74	0	74
Aaegypti	Pop01	S1	5	73	0	73
Aaegypti	Pop01	S1	7.5	75	0	75
Aaegypti	Pop01	S1	10	73	2	75
Aaegypti	Pop01	S1	15	46	28	74
Aaegypti	Pop01	S1	20	8	66	74
Aaegypti	Pop01	S1	50	0	77	77
Aaegypti	Pop01	S1	1	100	0	100
Aaegypti	Pop01	S1	2.5	98	0	98
Aaegypti	Pop01	S1	5	78	20	98
Aaegypti	Pop01	S1	7.5	13	87	100
Aaegypti	Pop01	S1	10	0	99	99
Aaegypti	Pop01	S1	15	0	99	99
Aaegypti	Pop01	S1	20	0	99	99
Aaegypti	Pop01	S1	50	0	99	99
Aaegypti	Pop01	S2	5	74	0	74
Aaegypti	Pop01	S2	10	75	0	75
Aaegypti	Pop01	S2	20	72	2	74
Aaegypti	Pop01	S2	30	65	9	74
Aaegypti	Pop01	S2	40	58	17	75
Aaegypti	Pop01	S2	50	48	25	73
Aaegypti	Pop01	S2	100	40	36	76
Aaegypti	Pop01	S2	200	32	44	76
Aaegypti	Pop01	S2	5	99	0	99
Aaegypti	Pop01	S2	10	98	0	98
Aaegypti	Pop01	S2	20	98	0	98
Aaegypti	Pop01	S2	30	93	7	100
Aaegypti	Pop01	S2	40	72	28	100
Aaegypti	Pop01	S2	50	64	34	98
Aaegypti	Pop01	S2	100	49	49	98
Aaegypti	Pop01	S2	200	24	75	99
Aaegypti	Pop01	S2	5	78	0	78
Aaegypti	Pop01	S2	10	66	13	79
Aaegypti	Pop01	S2	20	36	46	82
Aaegypti	Pop01	S2	30	39	41	80
Aaegypti	Pop01	S2	40	32	48	80
Aaegypti	Pop01	S2	50	29	48	77
Aaegypti	Pop01	S2	100	13	64	77
Aaegypti	Pop01	S2	200	9	71	80
Aaegypti	Pop01	S1	1	100	0	100
Aaegypti	Pop01	S1	2.5	18	81	99
Aaegypti	Pop01	S1	5	0	101	101
Aaegypti	Pop01	S1	7.5	0	97	97
Aaegypti	Pop01	S1	10	0	101	101
Aaegypti	Pop01	S1	15	0	102	102
Aaegypti	Pop01	S1	20	0	99	99
Aaegypti	Pop01	S1	50	0	97	97
Aaegypti	Pop02	S2	5	100	0	100
Aaegypti	Pop02	S2	10	67	27	94
Aaegypti	Pop02	S2	20	21	78	99
Aaegypti	Pop02	S2	30	20	80	100
Aaegypti	Pop02	S2	40	4	95	100
Aaegypti	Pop02	S2	50	5	97	102
Aaegypti	Pop02	S2	100	1	99	100
Aaegypti	Pop02	S2	200	0	100	100
Aaegypti	Pop02	S2	5	79	0	79
Aaegypti	Pop02	S2	10	80	0	80
Aaegypti	Pop02	S2	20	70	10	80
Aaegypti	Pop02	S2	30	42	38	80
Aaegypti	Pop02	S2	40	38	42	80
Aaegypti	Pop02	S2	50	29	52	81
Aaegypti	Pop02	S2	100	13	68	81
Aaegypti	Pop02	S2	200	1	79	80
Aaegypti	Pop02	S2	5	100	0	100
Aaegypti	Pop02	S2	10	95	4	99
Aaegypti	Pop02	S2	20	80	20	100
Aaegypti	Pop02	S2	30	40	62	102
Aaegypti	Pop02	S2	40	35	63	98
Aaegypti	Pop02	S2	50	25	75	100
Aaegypti	Pop02	S2	100	15	84	99
Aaegypti	Pop02	S2	200	1	99	100
Aaegypti	Pop02	S1	1	80	1	81
Aaegypti	Pop02	S1	2.5	80	0	80
Aaegypti	Pop02	S1	5	77	3	80
Aaegypti	Pop02	S1	7.5	69	11	80
Aaegypti	Pop02	S1	10	30	50	80
Aaegypti	Pop02	S1	15	16	64	80
Aaegypti	Pop02	S1	20	0	80	80
Aaegypti	Pop02	S1	50	0	80	80
Aaegypti	Pop02	S1	1	100	0	100
Aaegypti	Pop02	S1	2.5	100	0	100
Aaegypti	Pop02	S1	5	94	6	100
Aaegypti	Pop02	S1	7.5	80	20	100
Aaegypti	Pop02	S1	10	61	39	100
Aaegypti	Pop02	S1	15	38	62	100
Aaegypti	Pop02	S1	20	12	88	100
Aaegypti	Pop02	S1	50	0	100	100
Aaegypti	Pop02	S1	1	100	0	100
Aaegypti	Pop02	S1	2.5	100	0	100
Aaegypti	Pop02	S1	5	15	85	100
Aaegypti	Pop02	S1	7.5	20	79	99
Aaegypti	Pop02	S1	10	18	88	100
Aaegypti	Pop02	S1	15	10	90	100
Aaegypti	Pop02	S1	20	0	99	99
Aaegypti	Pop02	S1	50	0	101	101
Aalbopictus	Pop01	S1	1	100	0	100
Aalbopictus	Pop01	S1	2.5	100	0	100
Aalbopictus	Pop01	S1	5	94	6	100
Aalbopictus	Pop01	S1	7.5	80	20	100
Aalbopictus	Pop01	S1	10	61	39	100
Aalbopictus	Pop01	S1	15	38	62	100
Aalbopictus	Pop01	S1	20	12	88	100
Aalbopictus	Pop01	S1	50	0	100	100
Aalbopictus	Pop01	S1	1	100	0	100
Aalbopictus	Pop01	S1	2.5	100	1	101
Aalbopictus	Pop01	S1	5	95	4	99
Aalbopictus	Pop01	S1	7.5	79	23	102
Aalbopictus	Pop01	S1	10	59	39	98
Aalbopictus	Pop01	S1	15	35	65	100
Aalbopictus	Pop01	S1	20	10	89	99
Aalbopictus	Pop01	S1	50	0	100	100
Aalbopictus	Pop01	S1	1	61	0	61
Aalbopictus	Pop01	S1	2.5	55	3	58
Aalbopictus	Pop01	S1	5	61	0	61
Aalbopictus	Pop01	S1	7.5	51	9	60
Aalbopictus	Pop01	S1	10	41	26	67
Aalbopictus	Pop01	S1	15	12	48	60
Aalbopictus	Pop01	S1	20	0	60	60
Aalbopictus	Pop01	S1	50	0	59	59
Aalbopictus	Pop01	S2	5	101	0	101
Aalbopictus	Pop01	S2	10	100	3	103
Aalbopictus	Pop01	S2	20	94	1	95
Aalbopictus	Pop01	S2	30	76	22	98
Aalbopictus	Pop01	S2	40	63	37	100
Aalbopictus	Pop01	S2	50	48	51	99
Aalbopictus	Pop01	S2	100	52	50	102
Aalbopictus	Pop01	S2	200	37	63	100
Aalbopictus	Pop01	S2	5	100	0	100
Aalbopictus	Pop01	S2	10	99	2	101
Aalbopictus	Pop01	S2	20	93	6	99
Aalbopictus	Pop01	S2	30	73	29	102
Aalbopictus	Pop01	S2	40	60	38	98
Aalbopictus	Pop01	S2	50	50	50	100
Aalbopictus	Pop01	S2	100	59	40	99
